objectid,filename,title,description,roll_number,format,film_format,film_manufacturer,film_stock_name,film_iso,film_type,photographer,camera,lens_focal_length,flash,orientation,exposure_number,interior_or_exterior,date,location,latitude,longitude,subject,developer,resolution
f-01,Berlin-3.jpg,Scary Tyrion,Underexposed photo of my cat Tyrion,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Tyrion,Reformed Film Lab,2075 x 3130
f-02,Berlin-7.jpg,Ghostly Theatre,Underexposed photo of Riverside Theatre at night,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,exterior,2025-11,"Iowa City, IA; Pedestrian Mall; Riverside Theatre",41.65882,-91.53381,Riverside Theatre; The Mousetrap,Reformed Film Lab,2075 x 3130
f-03,Berlin-10.jpg,This Book Never Made It Home,Underexposed photo of an Agathat Christie novel forgotten on a counter,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,book; counter; The Mousetrap,Reformed Film Lab,3130 x 2075
f-04,Berlin-12.jpg,Stage Manager In Black and White,Underexposed photo of the stage manager for The Mousetrap at Riverside Theatre,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,friend; coworker; boss; The Mousetrap,Reformed Film Lab,2075 x 3130
f-05,Berlin-15.jpg,Me In Black and White,An almost not underexposed self-portrait of me in my role as assistant stage manager for The Mousetrap at Riverside Theatre,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,self-portrait; Brody,Reformed Film Lab,2075 x 3130
f-06,Color 2-8.jpg,Month Seven,A self portrait of myself and my apartment at night,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,self-portrait; cat; Tyrion; Brody; Korra,Reformed Film Lab,3130 x 2075
f-07,Color 2-10.jpg,Group Assignment,A photo from my perspective of two classmates working in the SLIS classroom on the Main Library's third floor,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-02,"Iowa City, IA; UIowa Main Library; SLIS Classroom",41.65921,-91.53864,friend; classmate; SLIS,Reformed Film Lab,3130 x 2075
f-08,Color 2-12.jpg,Classmate In the Window,A photo of a classmate who thought the show outside would look nice on film. The snow is not visible.,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,interior,2026-02,"Iowa City, IA; UIowa Main Library; SLIS Classroom",41.65921,-91.53864,classmate; snow; SLIS,Reformed Film Lab,2075 x 3130
f-09,Color 2-13.jpg,Professor On Break,A photo of SLIS Professor Iulian Vamanu during a break,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,interior,2026-02,"Iowa City, IA; UIowa Main Library; SLIS Classroom",41.65921,-91.53864,professor; SLIS,Reformed Film Lab,2075 x 3130
f-10,Color 2-18.jpg,Trauma Bonded,A photo of myself with one of the cast members from Riverside Theatre's production of Primary Trust who played Corrina,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Randy Jackson Alvarenga,Nikon N90s,60mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,friend; coworker; Primary Trust,Reformed Film Lab,3130 x 2075
